date,county,state,fips,cases,deaths,population,retail,grocery,parks,transit,workplaces,residential
2020-01-25,Orange,California,06059,1,0,3164182,NA,NA,NA,NA,NA,NA
2020-01-26,Los Angeles,California,06037,1,0,10098052,NA,NA,NA,NA,NA,NA
2020-01-26,Orange,California,06059,1,0,3164182,NA,NA,NA,NA,NA,NA
2020-01-27,Los Angeles,California,06037,1,0,10098052,NA,NA,NA,NA,NA,NA
2020-01-27,Orange,California,06059,1,0,3164182,NA,NA,NA,NA,NA,NA
2020-01-28,Los Angeles,California,06037,1,0,10098052,NA,NA,NA,NA,NA,NA
2020-01-28,Orange,California,06059,1,0,3164182,NA,NA,NA,NA,NA,NA
2020-01-29,Los Angeles,California,06037,1,0,10098052,NA,NA,NA,NA,NA,NA
2020-01-29,Orange,California,06059,1,0,3164182,NA,NA,NA,NA,NA,NA
2020-01-30,Los Angeles,California,06037,1,0,10098052,NA,NA,NA,NA,NA,NA
2020-01-30,Orange,California,06059,1,0,3164182,NA,NA,NA,NA,NA,NA
2020-01-31,Los Angeles,California,06037,1,0,10098052,NA,NA,NA,NA,NA,NA
2020-01-31,Orange,California,06059,1,0,3164182,NA,NA,NA,NA,NA,NA
2020-01-31,Santa Clara,California,06085,1,0,1922200,NA,NA,NA,NA,NA,NA
2020-02-01,Los Angeles,California,06037,1,0,10098052,NA,NA,NA,NA,NA,NA
2020-02-01,Orange,California,06059,1,0,3164182,NA,NA,NA,NA,NA,NA
2020-02-01,Santa Clara,California,06085,1,0,1922200,NA,NA,NA,NA,NA,NA
2020-02-02,Los Angeles,California,06037,1,0,10098052,NA,NA,NA,NA,NA,NA
2020-02-02,Orange,California,06059,1,0,3164182,NA,NA,NA,NA,NA,NA
2020-02-02,San Francisco,California,06075,2,0,870044,NA,NA,NA,NA,NA,NA
2020-02-02,Santa Clara,California,06085,2,0,1922200,NA,NA,NA,NA,NA,NA
2020-02-03,Los Angeles,California,06037,1,0,10098052,NA,NA,NA,NA,NA,NA
2020-02-03,Orange,California,06059,1,0,3164182,NA,NA,NA,NA,NA,NA
2020-02-03,San Francisco,California,06075,2,0,870044,NA,NA,NA,NA,NA,NA
2020-02-03,Santa Clara,California,06085,2,0,1922200,NA,NA,NA,NA,NA,NA
2020-02-04,Los Angeles,California,06037,1,0,10098052,NA,NA,NA,NA,NA,NA
2020-02-04,Orange,California,06059,1,0,3164182,NA,NA,NA,NA,NA,NA
2020-02-04,San Francisco,California,06075,2,0,870044,NA,NA,NA,NA,NA,NA
2020-02-04,Santa Clara,California,06085,2,0,1922200,NA,NA,NA,NA,NA,NA
2020-02-05,Los Angeles,California,06037,1,0,10098052,NA,NA,NA,NA,NA,NA
2020-02-05,Orange,California,06059,1,0,3164182,NA,NA,NA,NA,NA,NA
2020-02-05,San Francisco,California,06075,2,0,870044,NA,NA,NA,NA,NA,NA
2020-02-05,Santa Clara,California,06085,2,0,1922200,NA,NA,NA,NA,NA,NA
2020-02-06,Los Angeles,California,06037,1,0,10098052,NA,NA,NA,NA,NA,NA
