county,fips,date,type,pct_diff
Alameda County,06001,2020-04-01,retail,-48
Alameda County,06001,2020-04-01,grocery,-18
Alameda County,06001,2020-04-01,parks,0
Alameda County,06001,2020-04-01,transit,-70
Alameda County,06001,2020-04-01,workplaces,-65
Alameda County,06001,2020-04-01,residential,28
Alameda County,06001,2020-04-02,retail,-49
Alameda County,06001,2020-04-02,grocery,-18
Alameda County,06001,2020-04-02,parks,-1
Alameda County,06001,2020-04-02,transit,-72
Alameda County,06001,2020-04-02,workplaces,-66
Alameda County,06001,2020-04-02,residential,29
Alameda County,06001,2020-04-03,retail,-51
Alameda County,06001,2020-04-03,grocery,-17
Alameda County,06001,2020-04-03,parks,-10
Alameda County,06001,2020-04-03,transit,-70
Alameda County,06001,2020-04-03,workplaces,-64
Alameda County,06001,2020-04-03,residential,30
Alameda County,06001,2020-04-04,retail,-62
Alameda County,06001,2020-04-04,grocery,-28
Alameda County,06001,2020-04-04,parks,-60
Alameda County,06001,2020-04-04,transit,-69
Alameda County,06001,2020-04-04,workplaces,-47
Alameda County,06001,2020-04-04,residential,21
Alameda County,06001,2020-04-05,retail,-65
Alameda County,06001,2020-04-05,grocery,-36
Alameda County,06001,2020-04-05,parks,-61
Alameda County,06001,2020-04-05,transit,-72
Alameda County,06001,2020-04-05,workplaces,-49
Alameda County,06001,2020-04-05,residential,18
Alameda County,06001,2020-04-06,retail,-53
Alameda County,06001,2020-04-06,grocery,-29
Alameda County,06001,2020-04-06,parks,-46
Alameda County,06001,2020-04-06,transit,-75
Alameda County,06001,2020-04-06,workplaces,-67
Alameda County,06001,2020-04-06,residential,30
Alameda County,06001,2020-04-07,retail,-50
Alameda County,06001,2020-04-07,grocery,-20
Alameda County,06001,2020-04-07,parks,4
Alameda County,06001,2020-04-07,transit,-70
Alameda County,06001,2020-04-07,workplaces,-66
Alameda County,06001,2020-04-07,residential,29
Alameda County,06001,2020-04-08,retail,-53
Alameda County,06001,2020-04-08,grocery,-24
Alameda County,06001,2020-04-08,parks,-13
Alameda County,06001,2020-04-08,transit,-71
Alameda County,06001,2020-04-08,workplaces,-66
Alameda County,06001,2020-04-08,residential,29
Alameda County,06001,2020-04-09,retail,-53
Alameda County,06001,2020-04-09,grocery,-23
Alameda County,06001,2020-04-09,parks,-11
Alameda County,06001,2020-04-09,transit,-72
Alameda County,06001,2020-04-09,workplaces,-67
Alameda County,06001,2020-04-09,residential,30
Alameda County,06001,2020-04-10,retail,-53
Alameda County,06001,2020-04-10,grocery,-21
Alameda County,06001,2020-04-10,parks,-6
Alameda County,06001,2020-04-10,transit,-70
Alameda County,06001,2020-04-10,workplaces,-65
Alameda County,06001,2020-04-10,residential,31
Alameda County,06001,2020-04-11,retail,-59
Alameda County,06001,2020-04-11,grocery,-23
Alameda County,06001,2020-04-11,parks,-30
Alameda County,06001,2020-04-11,transit,-65
Alameda County,06001,2020-04-11,workplaces,-45
Alameda County,06001,2020-04-11,residential,19
Alameda County,06001,2020-04-12,retail,-67
Alameda County,06001,2020-04-12,grocery,-38
Alameda County,06001,2020-04-12,parks,-22
Alameda County,06001,2020-04-12,transit,-65
Alameda County,06001,2020-04-12,workplaces,-46
Alameda County,06001,2020-04-12,residential,16
Alameda County,06001,2020-04-13,retail,-51
Alameda County,06001,2020-04-13,grocery,-28
Alameda County,06001,2020-04-13,parks,-2
Alameda County,06001,2020-04-13,transit,-70
Alameda County,06001,2020-04-13,workplaces,-65
Alameda County,06001,2020-04-13,residential,28
Alameda County,06001,2020-04-14,retail,-50
Alameda County,06001,2020-04-14,grocery,-23
Alameda County,06001,2020-04-14,parks,12
Alameda County,06001,2020-04-14,transit,-68
Alameda County,06001,2020-04-14,workplaces,-65
Alameda County,06001,2020-04-14,residential,29
Alameda County,06001,2020-04-15,retail,-54
Alameda County,06001,2020-04-15,grocery,-22
Alameda County,06001,2020-04-15,parks,3
Alameda County,06001,2020-04-15,transit,-68
Alameda County,06001,2020-04-15,workplaces,-64
Alameda County,06001,2020-04-15,residential,28
Alameda County,06001,2020-04-16,retail,-64
Alameda County,06001,2020-04-16,grocery,-22
Alameda County,06001,2020-04-16,parks,-8
Alameda County,06001,2020-04-16,transit,-71
Alameda County,06001,2020-04-16,workplaces,-65
Alameda County,06001,2020-04-16,residential,30
Alameda County,06001,2020-04-17,retail,-65
Alameda County,06001,2020-04-17,grocery,-21
Alameda County,06001,2020-04-17,parks,-15
Alameda County,06001,2020-04-17,transit,-70
Alameda County,06001,2020-04-17,workplaces,-62
Alameda County,06001,2020-04-17,residential,30
Alameda County,06001,2020-04-18,retail,-69
Alameda County,06001,2020-04-18,grocery,-21
Alameda County,06001,2020-04-18,parks,-12
Alameda County,06001,2020-04-18,transit,-61
Alameda County,06001,2020-04-18,workplaces,-40
Alameda County,06001,2020-04-18,residential,18
Alameda County,06001,2020-04-19,retail,-68
Alameda County,06001,2020-04-19,grocery,-27
Alameda County,06001,2020-04-19,parks,-3
Alameda County,06001,2020-04-19,transit,-63
Alameda County,06001,2020-04-19,workplaces,-41
Alameda County,06001,2020-04-19,residential,15
Alameda County,06001,2020-04-20,retail,-63
Alameda County,06001,2020-04-20,grocery,-25
Alameda County,06001,2020-04-20,parks,-13
Alameda County,06001,2020-04-20,transit,-70
Alameda County,06001,2020-04-20,workplaces,-64
Alameda County,06001,2020-04-20,residential,28
Alameda County,06001,2020-04-21,retail,-63
Alameda County,06001,2020-04-21,grocery,-21
Alameda County,06001,2020-04-21,parks,6
Alameda County,06001,2020-04-21,transit,-70
Alameda County,06001,2020-04-21,workplaces,-64
Alameda County,06001,2020-04-21,residential,29
Alameda County,06001,2020-04-22,retail,-63
Alameda County,06001,2020-04-22,grocery,-23
Alameda County,06001,2020-04-22,parks,10
Alameda County,06001,2020-04-22,transit,-69
Alameda County,06001,2020-04-22,workplaces,-64
Alameda County,06001,2020-04-22,residential,28
Alameda County,06001,2020-04-23,retail,-62
Alameda County,06001,2020-04-23,grocery,-21
Alameda County,06001,2020-04-23,parks,10
Alameda County,06001,2020-04-23,transit,-70
Alameda County,06001,2020-04-23,workplaces,-64
Alameda County,06001,2020-04-23,residential,29
Alameda County,06001,2020-04-24,retail,-64
Alameda County,06001,2020-04-24,grocery,-20
Alameda County,06001,2020-04-24,parks,5
Alameda County,06001,2020-04-24,transit,-68
Alameda County,06001,2020-04-24,workplaces,-61
Alameda County,06001,2020-04-24,residential,29
Alameda County,06001,2020-04-25,retail,-67
